name,slug,path,is_port
China Main,china_main,china_main,false
Northern Europe,northern_europe,northern_europe,false
Russia North West,russia_north_west,northern_europe.russia_north_west,false
North Europe Main,north_europe_main,northern_europe.north_europe_main,false
North Europe Sub,north_europe_sub,northern_europe.north_europe_sub,false
China East Main,china_east_main,china_main.china_east_main,false
China South Main,china_south_main,china_main.china_south_main,false
Baltic,baltic,northern_europe.baltic,false
Scandinavia,scandinavia,northern_europe.scandinavia,false
China North Main,china_north_main,china_main.china_north_main,false
Stockholm Area,stockholm_area,northern_europe.scandinavia.stockholm_area,false
UK Sub,uk_sub,northern_europe.north_europe_sub.uk_sub,false
Finland Main,finland_main,northern_europe.baltic.finland_main,false
Baltic Main,baltic_main,northern_europe.baltic.baltic_main,false
Poland Main,poland_main,northern_europe.baltic.poland_main,false
Kattegat,kattegat,northern_europe.scandinavia.kattegat,false
Norway North West,norway_north_west,northern_europe.scandinavia.norway_north_west,false
Norway South East,norway_south_east,northern_europe.scandinavia.norway_south_east,false
Norway South West,norway_south_west,northern_europe.scandinavia.norway_south_west,false
UK Main,uk_main,northern_europe.north_europe_main.uk_main,false
Chiwan,CNCWN,china_main.china_south_main.CNCWN,true
Shannon,IESNN,northern_europe.north_europe_sub.IESNN,true
Le Verdon-sur-Mer,FRLVE,northern_europe.north_europe_sub.FRLVE,true
Oslo,NOOSL,northern_europe.scandinavia.norway_south_east.NOOSL,true
Portsmouth,GBPME,northern_europe.north_europe_sub.uk_sub.GBPME,true
Stavanger,NOSVG,northern_europe.scandinavia.norway_south_west.NOSVG,true
Helsingfors (Helsinki),FIHEL,northern_europe.baltic.finland_main.FIHEL,true
Måløy,NOMAY,northern_europe.scandinavia.NOMAY,true
Lyon,FRLIO,northern_europe.north_europe_sub.FRLIO,true
Halmstad,SEHAD,northern_europe.scandinavia.kattegat.SEHAD,true
Tilbury,GBTIL,northern_europe.north_europe_sub.uk_sub.GBTIL,true
Copenhagen (København),DKCPH,northern_europe.scandinavia.kattegat.DKCPH,true
Fredrikstad,NOFRK,northern_europe.scandinavia.norway_south_east.NOFRK,true
Yantai,CNYAT,china_main.china_east_main.CNYAT,true
Shenzhen,CNSNZ,china_main.china_south_main.CNSNZ,true
Skien,NOSKE,northern_europe.scandinavia.NOSKE,true
Wilhelmshaven,DEWVN,northern_europe.north_europe_sub.DEWVN,true
Kristiansund,NOKSU,northern_europe.scandinavia.norway_north_west.NOKSU,true
Malmö,SEMMA,northern_europe.scandinavia.kattegat.SEMMA,true
Brahestad (Raahe),FIRAA,northern_europe.baltic.FIRAA,true
Dunkerque,FRDKK,northern_europe.north_europe_sub.FRDKK,true
London,GBLON,northern_europe.north_europe_sub.uk_sub.GBLON,true
Svelgen,NOSVE,northern_europe.scandinavia.norway_north_west.NOSVE,true
Bassens,FRBAS,northern_europe.north_europe_sub.FRBAS,true
